State,Division,Date,Value
South_Carolina,South_Atlantic,2022-11,2816.0
Virginia,South_Atlantic,2022-11,2000.0
West_Virginia,South_Atlantic,2022-11,186.0
Alabama,East_South_Central,2022-11,1324.0
Kentucky,East_South_Central,2022-11,996.0
Mississippi,East_South_Central,2022-11,457.0
Tennessee,East_South_Central,2022-11,2302.0
Arkansas,West_South_Central,2022-11,708.0
Louisiana,West_South_Central,2022-11,949.0
Oklahoma,West_South_Central,2022-11,693.0
Texas,West_South_Central,2022-11,15117.0
Arizona,Mountain,2022-11,2931.0
Colorado,Mountain,2022-11,2602.0
Idaho,Mountain,2022-11,1229.0
Montana,Mountain,2022-11,188.0
Nevada,Mountain,2022-11,1171.0
New_Mexico,Mountain,2022-11,439.0
Utah,Mountain,2022-11,1491.0
Wyoming,Mountain,2022-11,133.0
Alaska,Pacific,2022-11,68.0
California,Pacific,2022-11,6800.0
Hawaii,Pacific,2022-11,532.0
Oregon,Pacific,2022-11,946.0
Washington,Pacific,2022-11,3076.0
Connecticut,New_England,2022-10,410.0
Maine,New_England,2022-10,399.0
Massachusetts,New_England,2022-10,1056.0
New_Hampshire,New_England,2022-10,311.0
Rhode_Island,New_England,2022-10,84.0
Vermont,New_England,2022-10,117.0
New_Jersey,Middle_Atlantic,2022-10,1741.0
New_York,Middle_Atlantic,2022-10,2304.0
Pennsylvania,Middle_Atlantic,2022-10,1897.0
Illinois,East_North_Central,2022-10,1814.0
Indiana,East_North_Central,2022-10,2355.0
Michigan,East_North_Central,2022-10,1597.0
Ohio,East_North_Central,2022-10,4159.0
Wisconsin,East_North_Central,2022-10,1760.0
Iowa,West_North_Central,2022-10,1209.0
Kansas,West_North_Central,2022-10,777.0
Minnesota,West_North_Central,2022-10,2752.0
Missouri,West_North_Central,2022-10,1552.0
Nebraska,West_North_Central,2022-10,926.0
North_Dakota,West_North_Central,2022-10,565.0
South_Dakota,West_North_Central,2022-10,411.0
Delaware,South_Atlantic,2022-10,580.0
District_of_Columbia,South_Atlantic,2022-10,451.0
Florida,South_Atlantic,2022-10,15337.0
Georgia,South_Atlantic,2022-10,6111.0
Maryland,South_Atlantic,2022-10,924.0
North_Carolina,South_Atlantic,2022-10,6781.0
South_Carolina,South_Atlantic,2022-10,3637.0
Virginia,South_Atlantic,2022-10,3198.0
West_Virginia,South_Atlantic,2022-10,224.0
Alabama,East_South_Central,2022-10,1466.0
Kentucky,East_South_Central,2022-10,1513.0
Mississippi,East_South_Central,2022-10,629.0
Tennessee,East_South_Central,2022-10,2383.0
Arkansas,West_South_Central,2022-10,1007.0
Louisiana,West_South_Central,2022-10,1170.0
Oklahoma,West_South_Central,2022-10,842.0
Texas,West_South_Central,2022-10,21363.0
Arizona,Mountain,2022-10,3871.0
Colorado,Mountain,2022-10,2919.0
Idaho,Mountain,2022-10,1057.0
Montana,Mountain,2022-10,595.0
Nevada,Mountain,2022-10,1250.0
New_Mexico,Mountain,2022-10,591.0
Utah,Mountain,2022-10,1704.0
Wyoming,Mountain,2022-10,556.0
Alaska,Pacific,2022-10,89.0
California,Pacific,2022-10,7282.0
Hawaii,Pacific,2022-10,829.0
Oregon,Pacific,2022-10,1211.0
Washington,Pacific,2022-10,3072.0
Connecticut,New_England,2022-09,384.0
Maine,New_England,2022-09,488.0
Massachusetts,New_England,2022-09,1611.0
New_Hampshire,New_England,2022-09,397.0
Rhode_Island,New_England,2022-09,136.0
Vermont,New_England,2022-09,207.0
New_Jersey,Middle_Atlantic,2022-09,2536.0
New_York,Middle_Atlantic,2022-09,2684.0
Pennsylvania,Middle_Atlantic,2022-09,1830.0
Illinois,East_North_Central,2022-09,2255.0
Indiana,East_North_Central,2022-09,3006.0
Michigan,East_North_Central,2022-09,1714.0
Ohio,East_North_Central,2022-09,2535.0
Wisconsin,East_North_Central,2022-09,2239.0
Iowa,West_North_Central,2022-09,1174.0
Kansas,West_North_Central,2022-09,858.0
Minnesota,West_North_Central,2022-09,2759.0
Missouri,West_North_Central,2022-09,1560.0
Nebraska,West_North_Central,2022-09,744.0
